loan_id,amount,interest_rate,term_months,zone,origination_date,price_appreciation_rate,formalization_status,rbi_rate_at_origination
LN100000,17094478,8.05,300,Mumbai Suburbs,2019-02-20,0.0632,Informal,6.25
LN100001,14315092,6.62,300,Mumbai Suburbs,2020-08-24,0.0395,Informal,6.77
LN100002,3234489,7.62,240,Navi Mumbai,2017-10-31,0.0297,Informal,5.54
LN100003,15586186,9.34,180,South Mumbai,2021-03-12,0.0729,Formal,4.81
LN100004,10628519,8.91,240,Navi Mumbai,2019-02-19,0.0231,Formal,7.21
LN100005,11526850,9.04,300,Mumbai Suburbs,2021-08-05,0.0238,Informal,5.1
LN100006,8404852,8.94,240,South Mumbai,2015-01-07,0.0455,Formal,7.49
LN100007,5981505,7.59,360,Mumbai Suburbs,2017-08-14,0.0752,Informal,6.69
LN100008,14953367,6.85,360,Mumbai Suburbs,2020-02-20,0.1041,Informal,6.41
LN100009,19544107,7.45,240,Navi Mumbai,2016-05-18,0.0675,Formal,4.04
LN100010,5521373,9.41,240,Mumbai Suburbs,2020-07-01,0.0749,Formal,5.57
LN100011,7019877,9.93,180,Mumbai Suburbs,2015-01-18,0.0895,Formal,5.76
LN100012,4344769,8.23,240,Mumbai Suburbs,2020-06-01,0.0867,Formal,5.32
LN100013,10180351,6.53,240,South Mumbai,2022-10-06,0.0434,Formal,4.52
LN100014,1103355,6.99,180,Mumbai Suburbs,2017-02-27,0.0861,Formal,5.29
LN100015,16964436,7.63,240,Mumbai Suburbs,2019-03-29,0.091,Formal,4.26
LN100016,2262752,8.53,240,Mumbai Suburbs,2016-09-01,0.0693,Formal,5.02
LN100017,10784633,6.76,240,Mumbai Suburbs,2019-01-06,0.0641,Formal,4.29
LN100018,6664789,9.8,240,Navi Mumbai,2022-06-17,0.078,Informal,6.63
LN100019,10695979,7.78,240,Mumbai Suburbs,2015-06-12,0.0749,Informal,6.35
LN100020,10305648,9.69,300,Navi Mumbai,2021-06-30,0.0041,Formal,7.29
LN100021,6743066,9.23,240,South Mumbai,2020-09-20,0.0729,Informal,5.33
LN100022,11642490,9.14,180,South Mumbai,2021-02-17,0.0954,Formal,6.75
LN100023,7113790,8.62,240,Mumbai Suburbs,2018-01-20,0.0897,Formal,6.06
LN100024,14237723,8.69,300,South Mumbai,2015-02-28,0.0713,Informal,6.26
LN100025,13648637,8.73,180,Mumbai Suburbs,2020-05-24,0.0644,Formal,5.92
LN100026,17861870,8.7,180,Mumbai Suburbs,2017-06-29,0.0481,Formal,6.73
LN100027,6147581,8.44,240,Mumbai Suburbs,2021-02-07,0.0566,Formal,4.15
LN100028,19731570,9.95,360,Mumbai Suburbs,2019-12-03,0.0818,Informal,4.28
LN100029,3428388,9.06,300,Navi Mumbai,2015-07-06,0.0715,Formal,4.34
LN100030,3663046,9.22,360,Navi Mumbai,2018-10-02,0.0871,Informal,5.01
LN100031,11959014,9.55,240,South Mumbai,2015-06-01,0.0444,Formal,6.07
LN100032,16346051,7.25,300,Mumbai Suburbs,2021-08-27,0.0925,Informal,6.26
LN100033,4385357,6.79,360,South Mumbai,2021-07-10,0.0414,Formal,6.49
LN100034,16933681,8.19,300,South Mumbai,2020-03-29,0.0661,Formal,4.98
LN100035,12184121,8.3,240,Mumbai Suburbs,2022-12-01,0.0431,Formal,6.28
LN100036,2465689,9.4,300,Mumbai Suburbs,2020-10-24,0.057,Formal,4.41
LN100037,17845364,8.05,240,South Mumbai,2015-12-17,0.121,Formal,4.03
LN100038,19602881,8.5,360,Mumbai Suburbs,2021-08-09,0.0753,Formal,6.43
LN100039,12392366,8.34,300,Mumbai Suburbs,2019-10-11,0.0668,Formal,6.5
LN100040,16358907,6.63,180,South Mumbai,2021-04-02,0.1024,Informal,6.18
LN100041,3669995,8.65,240,Mumbai Suburbs,2016-02-19,0,Informal,4.91
LN100042,13839420,9.4,300,Navi Mumbai,2021-08-15,0.0552,Informal,7.25
LN100043,14479854,7.05,180,Mumbai Suburbs,2015-01-11,0.045,Informal,7.06
LN100044,7397986,8.58,180,Mumbai Suburbs,2017-04-16,0.0343,Formal,5.8
LN100045,14187277,8.58,180,South Mumbai,2015-02-18,0.0141,Formal,7.46
LN100046,2870928,7.07,180,South Mumbai,2016-05-19,0.0534,Informal,5.05
LN100047,5155299,6.93,240,South Mumbai,2019-02-23,0.0808,Informal,5.72
LN100048,11946097,9.93,300,Navi Mumbai,2016-12-11,0.0556,Formal,7.25
LN100049,15091261,7.88,180,South Mumbai,2017-08-29,0.084,Formal,5.62
LN100050,1271836,7.3,300,South Mumbai,2018-03-23,0.0621,Formal,5.65
LN100051,4584702,7.1,300,South Mumbai,2017-12-18,0.095,Formal,4.28
LN100052,8281369,8.84,360,Mumbai Suburbs,2015-03-03,0.0449,Formal,4.74
LN100053,9585377,8.63,300,South Mumbai,2021-01-09,0.0038,Informal,4.55
LN100054,19048957,8.75,240,Mumbai Suburbs,2015-12-22,0.0126,Formal,5.98
LN100055,18824013,6.81,240,Mumbai Suburbs,2019-02-26,0.0451,Formal,5.11
LN100056,4047262,9.63,180,Mumbai Suburbs,2016-04-23,0.0336,Formal,4.27
LN100057,11973639,7.86,300,South Mumbai,2021-06-09,0.0423,Informal,5.78
LN100058,1564685,7.6,240,South Mumbai,2020-01-01,0.0942,Formal,6.34
LN100059,3879190,8.12,240,Mumbai Suburbs,2018-03-22,0.015,Formal,6.58
